PRODUCT NAME,PRODUCT URLS,PRODUCT PRICE,PRODUCT RATING,REVIEW COUNT
AUXTER Faux Leather 23 Cms Duffle Bag(AUX_GB_LE_Black -SE_0521_Black),https://amazon.in/AUXTER-BLACKY-Duffel-Emboss-Black/dp/B07F2H25NP/ref=sr_1_39?crid=2M096C61O4MLT&keywords=bags&qid=1679428496&sprefix=ba%2Caps%2C358&sr=8-39,549,4.3 out of 5 stars,",90"
ADISA Laptop Backpack 31 Ltrs,https://amazon.in/ADISA-BP004-Weight-Casual-Backpack/dp/B07G3CG9FC/ref=sr_1_40?crid=2M096C61O4MLT&keywords=bags&qid=1679428496&sprefix=ba%2Caps%2C358&sr=8-40,790,4.0 out of 5 stars,",08"
DZert Kids School Bag Soft Plush Backpacks Cartoon Boys Girls Baby (2-5 Years),https://amazon.in/DZert-Fabric-Multicolour-Spiderman-Printed/dp/B07BNS3KNX/ref=sr_1_41?crid=2M096C61O4MLT&keywords=bags&qid=1679428496&sprefix=ba%2Caps%2C358&sr=8-41,798,3.8 out of 5 stars,",40"
"American Tourister VALEX BLACK LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER",https://amazon.in/American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4S4XF/ref=sr_1_42?crid=2M096C61O4MLT&keywords=bags&qid=1679428496&sprefix=ba%2Caps%2C358&sr=8-42,499,4.1 out of 5 stars,
ADISA 35L Large Laptop Backpack Office Bag College Travel Back Pack with rain Cover (Navy),https://amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B0BPTT2HZY/ref=sr_1_43?crid=2M096C61O4MLT&keywords=bags&qid=1679428496&sprefix=ba%2Caps%2C358&sr=8-43,376,4.0 out of 5 stars,
VIP Polypropylene 48 Cms Travel Bag(DFENDEBRN_Brown),https://amazon.in/VIP-Endura-Puller-Brown-Duffle/dp/B0B527KJQZ/ref=sr_1_44?crid=2M096C61O4MLT&keywords=bags&qid=1679428496&sprefix=ba%2Caps%2C358&sr=8-44,499,4.3 out of 5 stars,0
"Genie Glitter Backpack for Women - 3 compartments, Laptop Bags for Girls, Stylish and Trendy College Backpacks for Girls, Water Resistant and Lightweight Bags for Office and Travelling Purpose.",https://amazon.in/Genie-Glitter-Backpack-Women-compartments/dp/B097JHQH13/ref=sr_1_45?crid=2M096C61O4MLT&keywords=bags&qid=1679428496&sprefix=ba%2Caps%2C358&sr=8-45,239,4.3 out of 5 stars,9
Fur Jaden Anti Theft Backpack 15.6 Inch Laptop Bag with USB Charging Port,https://amazon.in/Fur-Jaden-Black-Waterproof-Backpack/dp/B078GLXMDY/ref=sr_1_46?crid=2M096C61O4MLT&keywords=bags&qid=1679428496&sprefix=ba%2Caps%2C358&sr=8-46,"1,299",4.0 out of 5 stars,"0,75"
Gear Vintage2 28L Faux Leather Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women-Navy,https://amazon.in/Gear-Vintage2-Leather-Backpack-LBPVG2LTH0501/dp/B07G4HH78P/ref=sr_1_47?crid=2M096C61O4MLT&keywords=bags&qid=1679428496&sprefix=ba%2Caps%2C358&sr=8-47,599,4.4 out of 5 stars,",13"
"Dell Pro Slim Backpack 15 - PO1520PS - Fits Most laptops up to 38.1 cm (15 inches, Black)",https://amazon.in/Dell-Pro-Slim-Backpack-15/dp/B07PMQTB6T/ref=sr_1_48?crid=2M096C61O4MLT&keywords=bags&qid=1679428496&sprefix=ba%2Caps%2C358&sr=8-48,899,4.3 out of 5 stars,9
